sigle;titre;titre_court;couleur
MED-1100;Santé et sécurité au travail : notions de base;SantéSéc;#F7A941
MNG-2100;Fondements du management international;ManaInte;
MNG-3103;Gestion du changement;GestChan;
MQT-2100;Environnement de développement de SIAD;DéveSIAD;
MQT-2101;Analyse et modélisation des données;AnalDonn;
MQT-2102;Introduction à la simulation et à la visualisation;SimuVisu;
MQT-3000;Introduction à l'analytique d'affaires;AnalAffa;
OPT-ION1;Cours à option à déterminer;OptGInd1;
OPT-ION2;Cours à option à déterminer;OptGInd2;
OPT-ION3;Cours à option à déterminer;OptGInd3;
OPT-ION4;Cours à option à déterminer;OptGInd4;
OPT-ION5;Cours à option à déterminer;OptGInd5;
PHI-3900;Éthique et professionnalisme;ÉthiProf;#FFC103
PHY-0150;Physique : mécanique classique;MécClass;#8C5A7B
PHY-0250;Physique : électricité et magnétisme;ÉlecMagn;#8C5A7B
PHY-1000;Introduction à l'astrophysique;IntrAstr;
PHY-2100;Sciences de l'espace;ScEspace;#5C7FA3
RLT-1700;Aspects administratifs et humains de la gestion;AspAdmin;
RLT-2002;Prévention primaire en SST;PrévSST1;
RLT-3300;Introduction à l'ergonomie;IntrErgo;
SAN-SÉCU;Cours de santé et sécurité au travail à déterminer;SantéSéc;
SCI-NATU;Cours de sciences de la nature à déterminer;SciNatur;
SIO-2100;Gestion stratégique des technologies de l'information;GestTISt;
SIO-2103;Conception des systèmes d'information organisationnels I;ConcSIO1;
SIO-2104;Gestion de l'innovation technologique;GestInno;
SIO-3100;Conception des systèmes d'information organisationnels II;ConcSIO2;
SIO-3105;Analyse d'affaires pour la transformation organisationnelle;AnalTran;
STT-1100;Introduction à la science des données;IntrScDo;
STT-1900;Méthodes statistiques pour l'ingénierie;MéthStat;#E76F51
STT-4230;R pour scientifique;RScienti;
