sigle;session;section;mode;jour;heure_debut;heure_fin
GMC-2002;A30;;;;;
GMC-2002;A31;;;;;
GMC-2003;A26;A;P;2;10:30;12:20
GMC-2003;A26;A;P;3;10:30;12:20
GMC-2003;A26;A;P;5;13:30;15:20
GMC-2003;A25;A;P;2;10:30;12:20
GMC-2003;A25;A;P;3;10:30;12:20
GMC-2003;A25;A;P;5;11:30;13:20
GMC-2003;A24;A;P;2;10:30;12:20
GMC-2003;A24;A;P;3;10:30;12:20
GMC-2003;A24;A;P;5;11:30;13:20
GMC-2003;A20;;;;;
GMC-2003;A21;;;;;
GMC-2003;A22;;;;;
GMC-2003;A23;;;;;
GMC-2003;A27;;;;;
GMC-2003;A28;;;;;
GMC-2003;A29;;;;;
GMC-2003;A30;;;;;
GMC-2003;A31;;;;;
GMC-2003;H24;;;;;
GMC-2005;H26;A;P;2;15:30;17:20
GMC-2005;H26;A;P;3;15:30;17:20
GMC-2005;H26;A;P;4;15:30;17:20
GMC-2005;H25;A;P;2;15:30;17:20
GMC-2005;H25;A;P;3;15:30;17:20
GMC-2005;H25;A;P;4;15:30;17:20
GMC-2005;H21;;;;;
GMC-2005;H22;;;;;
GMC-2005;H23;;;;;
GMC-2005;H24;;;;;
GMC-2005;H27;;;;;
GMC-2005;H28;;;;;
GMC-2005;H29;;;;;
GMC-2005;H30;;;;;
GMC-2005;H31;;;;;
GMC-2006;A26;A;P;2;13:30;15:20
GMC-2006;A26;A;P;3;08:30;10:20
GMC-2006;A26;A;P;4;15:30;17:20
GMC-2006;A25;A;P;2;13:30;15:20
GMC-2006;A25;A;P;3;08:30;10:20
