GEL-4251;H23;;;;;
GEL-4251;H24;;;;;
GEL-4251;H25;;;;;
GEL-4799;A22;;;;;
GEL-4799;H23;;;;;
GEL-4799;A23;;;;;
GEL-4799;H24;;;;;
GEL-4799;A24;;;;;
GEL-4799;H25;;;;;
GIF-1001;A22;;;;;
GIF-1001;H23;;;;;
GIF-1001;A23;;;;;
GIF-1001;H24;;;;;
GIF-1001;A24;;;;;
GIF-1001;H25;;;;;
GIF-1002;A22;;;;;
GIF-1002;A23;;;;;
GIF-1002;A24;;;;;
GIF-2000;H23;;;;;
GIF-2000;H24;;;;;
GIF-2000;H25;;;;;
GIF-3000;A22;;;;;
GIF-3000;A23;;;;;
GIF-3000;A24;;;;;
GIF-3001;H23;;;;;
GIF-3001;H24;;;;;
GIF-3001;H25;;;;;
GIF-3002;A22;;;;;
GIF-3002;A23;;;;;
GIF-3002;A24;;;;;
GIF-3004;H23;;;;;
GIF-3004;H24;;;;;
GIF-3004;H25;;;;;
GIF-3101;H23;;;;;
GIF-3101;H24;;;;;
GIF-3101;H25;;;;;
GIF-4100;A22;;;;;
GIF-4100;A23;;;;;
GIF-4100;A24;;;;;
GIF-4101;A22;;;;;
GIF-4101;A23;;;;;
GIF-4101;A24;;;;;
GIF-4104;H23;;;;;
GIF-4105;H23;;;;;
GIF-4105;H24;;;;;
GIF-4105;H25;;;;;
GIF-4201;H24;;;;;
GIF-4202;A22;;;;;
GIF-4202;A23;;;;;
GIF-4202;A24;;;;;
GIN-1500;A22;;;;;
GIN-1500;A23;;;;;
GIN-1500;A24;;;;;
GIN-2010;H23;;;;;
GIN-2010;H24;;;;;
GIN-2010;H25;;;;;
GIN-2110;A22;;;;;
GIN-2110;A23;;;;;
GIN-2110;A24;;;;;
GIN-2120;A22;;;;;
GIN-2120;A23;;;;;
GIN-2120;A24;;;;;
GIN-3010;H23;;;;;
GIN-3010;H24;;;;;
GIN-3010;H25;;;;;
GIN-3020;H23;;;;;
GIN-3020;H24;;;;;
GIN-3020;H25;;;;;
GIN-3030;A22;;;;;
GIN-3030;A23;;;;;
GIN-3030;A24;;;;;
GIN-3040;H23;;;;;
GIN-3040;H24;;;;;
GIN-3040;H25;;;;;
GIN-3050;A22;;;;;
GIN-3050;A23;;;;;
GIN-3050;A24;;;;;
GIN-3080;A22;;;;;
GIN-3080;H23;;;;;
GIN-3080;A23;;;;;
GIN-3080;A24;;;;;
GIN-3110;A22;;;;;
GIN-3110;A23;;;;;
GIN-3110;A24;;;;;
GIN-3200;H23;;;;;
GIN-3200;E23;;;;;
GIN-3200;H24;;;;;
GIN-3200;E24;;;;;
GIN-3200;H25;;;;;
GIN-3200;E25;;;;;
GIN-3220;H23;;;;;
GIN-3220;H24;;;;;
GIN-3220;H25;;;;;
GIN-3310;A22;;;;;
GIN-3310;A23;;;;;
GIN-3310;A24;;;;;
GIN-3320;H23;;;;;
GIN-3320;H24;;;;;
GIN-3320;H25;;;;;
GIN-4003;H25;;;;;
GIN-4021;H23;;;;;
GIN-4021;H24;;;;;
GIN-4021;H25;;;;;
GLO-1901;A22;;;;;
GLO-1901;H23;;;;;
GLO-1901;A23;;;;;
GLO-1901;H24;;;;;
GLO-1901;A24;;;;;
GLO-1901;H25;;;;;
GLO-2100;A22;;;;;
GLO-2100;A23;;;;;
GLO-2100;A24;;;;;
GLO-2100;A25;;;;;
GLO-4001;A22;;;;;
GLO-4001;A23;;;;;
GLO-4001;A24;;;;;
GLO-4001;A25;;;;;
GMC-1000;A22;;;;;
GMC-1000;A23;;;;;
GMC-1000;A24;;;;;
GMC-1001;A22;;;;;
GMC-1001;H23;;;;;
GMC-1001;A23;;;;;
GMC-1001;H24;;;;;
GMC-1001;A24;;;;;
GMC-1001;H25;;;;;
GMC-1002;A22;;;;;
GMC-1002;A23;;;;;
GMC-1002;A24;;;;;
GMC-1003;H23;;;;;
GMC-1003;H24;;;;;
GMC-1003;H25;;;;;
GMC-1024;A22;;;;;
GMC-1024;H23;;;;;
GMC-1024;A23;;;;;
GMC-1024;H24;;;;;
GMC-1024;A24;;;;;
GMC-1024;H25;;;;;
GMC-1300;H23;;;;;
GMC-1300;H24;;;;;
GMC-1300;H25;;;;;
GMC-1900;A22;;;;;
GMC-1900;A23;;;;;
GMC-1900;A24;;;;;
GMC-1901;A22;;;;;
GMC-1901;A23;;;;;
GMC-1901;A24;;;;;
GMC-2001;H23;;;;;
GMC-2001;H24;;;;;
GMC-2001;H25;;;;;
GMC-2002;A22;;;;;
GMC-2002;A23;;;;;
GMC-2002;A24;;;;;
GMC-2003;A22;;;;;
GMC-2003;A23;;;;;
GMC-2003;H24;;;;;
GMC-2003;A24;;;;;
GMC-2005;H23;;;;;
GMC-2005;H24;;;;;
GMC-2005;H25;;;;;
GMC-2006;A22;;;;;
GMC-2006;A23;;;;;
GMC-2006;A24;;;;;
GMC-2007;H23;;;;;
GMC-2007;H24;;;;;
GMC-2007;H25;;;;;
GMC-2008;H23;;;;;
GMC-2008;H24;;;;;
GMC-2008;H25;;;;;
GMC-2024;A22;;;;;
GMC-2024;H23;;;;;
GMC-2024;A23;;;;;
GMC-2024;H24;;;;;
GMC-2024;A24;;;;;
GMC-2025;A22;;;;;
GMC-2025;H23;;;;;
GMC-2025;A23;;;;;
GMC-2025;H24;;;;;
GMC-2025;A24;;;;;
GMC-2025;H25;;;;;
GMC-3000;H23;;;;;
GMC-3000;H24;;;;;
GMC-3000;H25;;;;;
GMC-3001;H23;;;;;
GMC-3001;H24;;;;;
GMC-3002;A22;;;;;
GMC-3002;A23;;;;;
GMC-3002;A24;;;;;
GMC-3002;E25;;;;;
GMC-3003;H23;;;;;
GMC-3003;H24;;;;;
GMC-3003;H25;;;;;
GMC-3005;A22;;;;;
GMC-3005;A23;;;;;
GMC-3005;A24;;;;;
GMC-3006;H23;;;;;
GMC-3006;H24;;;;;
GMC-3006;H25;;;;;
GMC-3009;A22;;;;;
GMC-3009;A23;;;;;
GMC-3009;A24;;;;;
GMC-3010;H23;;;;;
GMC-3010;H24;;;;;
GMC-3012;A22;;;;;
GMC-3012;A23;;;;;
GMC-3012;A24;;;;;
GMC-3013;A22;;;;;
GMC-3013;H23;;;;;
GMC-3013;A23;;;;;
GMC-3013;H24;;;;;
GMC-3013;A24;;;;;
GMC-3013;H25;;;;;
GMC-3014;A22;;;;;
GMC-3014;H23;;;;;
GMC-3014;A23;;;;;
GMC-3014;H24;;;;;
GMC-3014;A24;;;;;
GMC-3015;H23;;;;;
GMC-3015;H24;;;;;
GMC-3015;H25;;;;;
GMC-3016;A24;;;;;
GMC-3020;A22;;;;;
GMC-3020;H23;;;;;
GMC-3020;A23;;;;;
GMC-3020;H24;;;;;
GMC-3020;A24;;;;;
GMC-3020;H25;;;;;
GMC-3020;A25;;;;;
GMC-3024;A22;;;;;
