sigle;session;section;mode;jour;heure_debut;heure_fin
ENT-1000;E31;;;;;
ENT-1000;H21;;;;;
ENT-1000;H22;;;;;
ENT-1000;H23;;;;;
ENT-1000;H24;;;;;
ENT-1000;H25;;;;;
ENT-1000;H27;;;;;
ENT-1000;H28;;;;;
ENT-1000;H29;;;;;
ENT-1000;H30;;;;;
ENT-1000;H31;;;;;
ENT-2023;A26;;;;;
ENT-2023;A25;;;;;
ENT-2023;A24;;;;;
ENT-2023;A20;;;;;
ENT-2023;A21;;;;;
ENT-2023;A22;;;;;
ENT-2023;A23;;;;;
ENT-2023;A27;;;;;
ENT-2023;A28;;;;;
ENT-2023;A29;;;;;
ENT-2023;A30;;;;;
ENT-2023;A31;;;;;
ENT-2145;A26;;;;;
ENT-2145;E26;;;;;
ENT-2145;H26;;;;;
ENT-2145;A20;;;;;
ENT-2145;A21;;;;;
ENT-2145;A22;;;;;
ENT-2145;A23;;;;;
ENT-2145;A24;;;;;
ENT-2145;A27;;;;;
ENT-2145;A28;;;;;
ENT-2145;A29;;;;;
ENT-2145;A30;;;;;
ENT-2145;A31;;;;;
ENT-2145;E21;;;;;
ENT-2145;E22;;;;;
ENT-2145;E23;;;;;
ENT-2145;E24;;;;;
ENT-2145;E25;;;;;
ENT-2145;E27;;;;;
ENT-2145;E28;;;;;
ENT-2145;E29;;;;;
ENT-2145;E30;;;;;
ENT-2145;E31;;;;;
ENT-2145;H21;;;;;
ENT-2145;H22;;;;;
ENT-2145;H23;;;;;
ENT-2145;H24;;;;;
ENT-2145;H25;;;;;
ENT-2145;H27;;;;;
ENT-2145;H28;;;;;
ENT-2145;H29;;;;;
ENT-2145;H30;;;;;
ENT-2145;H31;;;;;
ENT-3000;A26;DH1;D;5;12:30;15:20
ENT-3000;E26;DH1;D;5;12:30;15:20
ENT-3000;H26;DH1;D;5;12:30;15:20
ENT-3000;A20;;;;;
ENT-3000;A21;;;;;
ENT-3000;A22;;;;;
ENT-3000;A23;;;;;
ENT-3000;A24;;;;;
ENT-3000;A25;;;;;
ENT-3000;A27;;;;;
ENT-3000;A28;;;;;
ENT-3000;A29;;;;;
ENT-3000;A30;;;;;
ENT-3000;A31;;;;;
ENT-3000;E21;;;;;
ENT-3000;E22;;;;;
ENT-3000;E23;;;;;
ENT-3000;E24;;;;;
ENT-3000;E25;;;;;
ENT-3000;E27;;;;;
ENT-3000;E28;;;;;
ENT-3000;E29;;;;;
ENT-3000;E30;;;;;
ENT-3000;E31;;;;;
ENT-3000;H21;;;;;
ENT-3000;H22;;;;;
ENT-3000;H23;;;;;
ENT-3000;H24;;;;;
ENT-3000;H25;;;;;
ENT-3000;H27;;;;;
ENT-3000;H28;;;;;
ENT-3000;H29;;;;;
ENT-3000;H30;;;;;
ENT-3000;H31;;;;;
ENT-3010;A26;DH1;D;5;12:30;15:20
ENT-3010;E26;DH1;D;5;12:30;15:20
ENT-3010;H26;DH1;D;5;12:30;15:20
ENT-3010;A20;;;;;
ENT-3010;A21;;;;;
ENT-3010;A22;;;;;
ENT-3010;A23;;;;;
ENT-3010;A24;;;;;
ENT-3010;A25;;;;;
ENT-3010;A27;;;;;
ENT-3010;A28;;;;;
ENT-3010;A29;;;;;
