sigle;session;section;mode;jour;heure_debut;heure_fin
GLO-2100;A25;B;P;4;15:30;16:50
GLO-2100;A25;B;P;5;12:30;14:20
GLO-2100;A24;A;P;4;10:30;11:50
GLO-2100;A24;A;P;4;15:30;16:50
GLO-2100;A24;A;P;5;10:30;12:20
GLO-2100;A24;B;P;4;10:30;11:50
GLO-2100;A24;B;P;4;15:30;16:50
GLO-2100;A24;B;P;5;12:30;14:20
GLO-2100;A25;;;;;
GLO-2100;A26;;;;;
GLO-2100;A27;;;;;
GLO-2100;A28;;;;;
GLO-2100;A29;;;;;
GLO-2100;A30;;;;;
GLO-2100;A31;;;;;
GLO-4001;A25;A;P;4;09:30;12:20
GLO-4001;A25;A;P;5;08:30;10:20
GLO-4001;A25;B;P;4;09:30;12:20
GLO-4001;A25;B;P;5;10:30;12:20
GLO-4001;A24;A;P;4;09:30;12:20
GLO-4001;A24;A;P;5;08:30;10:20
GLO-4001;A24;B;P;4;09:30;12:20
GLO-4001;A24;B;P;5;10:30;12:20
GLO-4001;A25;;;;;
GLO-4001;A26;;;;;
GLO-4001;A27;;;;;
GLO-4001;A28;;;;;
GLO-4001;A29;;;;;
GLO-4001;A30;;;;;
GMC-1001;A26;A;P;2;13:30;15:20
GMC-1001;A26;A;P;3;10:30;12:20
GMC-1001;A26;A;P;5;13:30;15:20
GMC-1001;H26;A;P;1;13:30;15:20
GMC-1001;H26;A;P;3;13:30;15:20
GMC-1001;H26;A;P;3;15:30;17:20
GMC-1001;A25;A;P;1;16:30;18:20
GMC-1001;A25;A;P;2;13:30;15:20
GMC-1001;A25;A;P;3;10:30;12:20
GMC-1001;A26;;;;;
GMC-1001;A27;;;;;
GMC-1001;A28;;;;;
GMC-1001;A29;;;;;
GMC-1001;A30;;;;;
GMC-1001;A31;;;;;
GMC-1001;H27;;;;;
GMC-1001;H28;;;;;
GMC-1001;H29;;;;;
GMC-1001;H30;;;;;
GMC-1001;H31;;;;;
GMC-1002;A26;A;P;1;10:30;12:20
GMC-1002;A26;A;P;2;15:30;17:20
GMC-1002;A25;A;P;1;10:30;12:20
GMC-1002;A25;A;P;2;15:30;17:20
GMC-1002;A25;A;P;5;13:30;15:20
GMC-1002;A24;A;P;1;10:30;12:20
GMC-1002;A24;A;P;2;15:30;17:20
GMC-1002;A24;A;P;5;13:30;15:20
GMC-1002;A25;;;;;
GMC-1002;A26;;;;;
GMC-1002;A27;;;;;
GMC-1002;A28;;;;;
GMC-1002;A29;;;;;
GMC-1002;A30;;;;;
GMC-1002;A31;;;;;
GMC-1003;H26;A;P;4;11:30;13:20
GMC-1003;H26;A;P;5;13:30;15:20
GMC-1003;H26;A;P;5;15:30;17:20
GMC-1003;H25;A;P;4;11:30;13:20
GMC-1003;H25;A;P;5;13:30;15:20
GMC-1003;H25;A;P;5;15:30;17:20
GMC-1003;H26;;;;;
GMC-1003;H27;;;;;
GMC-1003;H28;;;;;
GMC-1003;H29;;;;;
GMC-1003;H30;;;;;
GMC-1003;H31;;;;;
GMC-1004;A26;A;P;5;11:30;13:20
GMC-1004;A27;;;;;
GMC-1004;A28;;;;;
GMC-1004;A29;;;;;
GMC-1004;A30;;;;;
