;;GMC-4201;Ingénierie de la qualité;3;IngQuali;#5C7FA3
;;GMC-4202;Procédés et développement de produits;3;PrDévPro;#5C7FA3
;;GIF-4101;Introduction à l'apprentissage automatique;3;InAppAut;#5C7FA3
;;GLO-2100;Algorithmes et structures de données pour l'ingénierie;3;AlgoStru;#5C7FA3
;;IFT-4102;Techniques avancées en intelligence artificielle;3;TechAvIA;#5C7FA3
;;GMC-4250;Mécanique des matériaux composites;3;MatéComp;#5C7FA3
;;GML-2007;Comportement mécanique et essais des matériaux;3;MécEsMat;#5C7FA3
;;GML-2251;Contrôle non destructif des matériaux;3;CNDMatér;#5C7FA3
;;GML-3000;Soudage des matériaux;3;SoudMaté;#5C7FA3
;;GEL-1000;Circuits;3;Circuits;#5C7FA3
;;GEL-4250;Commande des systèmes avancée;3;ComSysAv;#5C7FA3
;;GEL-4799;Dangers de l'électricité;0;DangÉlec;#5C7FA3
;;GIF-1003;Programmation avancée en C++ pour l'ingénierie;3;ProgrC++;#5C7FA3
;;GLO-4001;Introduction à la robotique mobile;3;InRobMob;#5C7FA3
;;GMC-1300;Initiation à la mécatronique;3;InitMéca;#5C7FA3
;;GMC-3300;Mécatronique appliquée;4;Mécatron;#5C7FA3
;;GMC-3351;Éléments de robotique;3;ÉlémRobo;#5C7FA3
;;MAT-2930;Algèbre linéaire appliquée;3;AlgèLiné;#5C7FA3
;;GAE-2005;Tracteurs et systèmes hydrauliques;3;Tracteur;#5C7FA3
;;GMC-3016;Introduction au génie maritime;3;InGéMari;#5C7FA3
;;GMC-4048;Analyse et synthèse cinématique des mécanismes;3;CinMécan;#5C7FA3
;;GMC-4055;Simulation numérique en mécanique des structures;3;SimNumSt;#5C7FA3
;;GMC-4100;Commandes hydrauliques et pneumatiques;3;HydrPneu;#5C7FA3
;;GMC-4351;Modélisation et analyse en CAO;3;ModAnCAO;#5C7FA3
;;GMC-3550;Projet spécialisé I;3;ProjSpé1;#5C7FA3
;;GMC-3551;Projet spécialisé II;3;ProjSpé2;#5C7FA3
;Règle 2;;;3;;
;;LAN-GUES;Cours de langue selon le résultat VEPT;3;;
Robotique;;;;18;;
;Cours obligatoires;;;3;;
;;GMC-3351;Éléments de robotique;3;ÉlémRobo;#5C7FA3
;Règle 1;;;12;;
;;GEL-4250;Commande des systèmes avancée;3;ComSysAv;#5C7FA3
;;GIF-1003;Programmation avancée en C++ pour l'ingénierie;3;ProgrC++;#5C7FA3
;;GIF-4101;Introduction à l'apprentissage automatique;3;InAppAut;#5C7FA3
;;GLO-4001;Introduction à la robotique mobile;3;InRobMob;#5C7FA3
;;GMC-1300;Initiation à la mécatronique;3;InitMéca;#5C7FA3
;;GMC-3300;Mécatronique appliquée;4;Mécatron;#5C7FA3
;;GMC-3550;Projet spécialisé I;3;ProjSpé1;#5C7FA3
;;GMC-3551;Projet spécialisé II;3;ProjSpé2;#5C7FA3
;;GMC-4048;Analyse et synthèse cinématique des mécanismes;3;CinMécan;#5C7FA3
;;GMC-4100;Commandes hydrauliques et pneumatiques;3;HydrPneu;#5C7FA3
;;GMC-4200;Automatisation industrielle;3;AutIndus;#5C7FA3
;Règle 2;;;3;;
;;LAN-GUES;Cours de langue selon le résultat VEPT;3;;
Génie du développement durable;;;;18;;
;Cours obligatoires;;;6;;
;;GMC-3012;Introduction à la mécanique du bâtiment et aux énergies renouvelables;3;InMécBât;#5C7FA3
;;GMC-3015;Conception intégrée des systèmes CVAC-R;3;ConCVACR;#5C7FA3
;Règle 1;;;9;;
;;GBO-2040;Charpentes en bois I;3;CharBois;#5C7FA3
;;GBO-4070;Enveloppe du bâtiment;3;EnvBâtim;#5C7FA3
;;GCI-2004;Structures de béton;3;StrucBét;#5C7FA3
;;GCI-2007;Structures métalliques;3;StrucMét;#5C7FA3
;;GCI-3001;Impacts environnementaux;3;ImpEnvir;#5C7FA3
;;GCI-3002;Gestion des eaux;3;GestEaux;#5C7FA3
;;GEL-2003;Électrotechnique;4;Électrot;#5C7FA3
;;GEL-4100;Commande industrielle;3;CommIndu;#5C7FA3
;;GEL-4799;Dangers de l'électricité;0;DangÉlec;#5C7FA3
;;GMC-3551;Projet spécialisé II;3;ProjSpé1;#5C7FA3
;;GMC-3550;Projet spécialisé I;3;ProjSpé2;#5C7FA3
;;GMC-4100;Commandes hydrauliques et pneumatiques;3;HydrPneu;#5C7FA3
;Règle 2;;;3;;
;;LAN-GUES;Cours de langue selon le résultat VEPT;3;;
Profil entrepreneurial;;;;18;;
;Cours obligatoires;;;9;;
;;ENT-1000;Savoir entreprendre : la passion de créer et d'agir;3;SavEntre;#5C7FA3
;;ENT-3000;Mon projet entrepreneurial en action 1;3;ProjEnt1;#5C7FA3
;;ENT-3010;Mon projet entrepreneurial en action 2;3;ProjEnt2;#5C7FA3
;Règle 1;;;3;;
;;ENT-2023;Entrepreneuriat technologique;3;EntrTech;#5C7FA3
;;ENT-4020;Introduction à l'entrepreneurship technologique;3;InEntrep;#5C7FA3
;Règle 2;;;3;;
;;LAN-GUES;Cours de langue selon le résultat VEPT;3;LangÀDét;#FFC103
;Règle 3;;;3;;
;;OPT-ION1;Cours à option en génie mécanique;3;OptÀDét1;#5C7FA3
Profil international;;;;18;;
;Règle 1;;;15;;
;;OPT-ION1;Cours à option à l'étranger;3;OptÀDét1;#5C7FA3
;;OPT-ION2;Cours à option à l'étranger;3;OptÀDét2;#5C7FA3
;;OPT-ION3;Cours à option à l'étranger;3;OptÀDét3;#5C7FA3
;;OPT-ION4;Cours à option à l'étranger;3;OptÀDét4;#5C7FA3
;;OPT-ION5;Cours à option à l'étranger ou à l'Université Laval;3;OptÀDét5;#5C7FA3
;Règle 2;;;3;;
;;LAN-GUES;Cours de langue selon le résultat VEPT;3;LangÀDét;#FFC103
